id,timestamp,psp,country,payment_method,card_brand,latency_ms,status
upload_000067,2024-07-15 12:33:23.000000,PSP_Beta,CO,PSE,,15550.0,timeout
upload_000038,2024-07-15 12:35:22.000000,PSP_Gamma,MX,CARD,Mastercard,1268.7,declined
upload_000046,2024-07-15 12:38:18.000000,PSP_Alpha,CO,CARD,Visa,19124.8,timeout
upload_000054,2024-07-15 12:40:58.000000,PSP_Alpha,BR,CARD,Mastercard,168.6,approved
upload_000060,2024-07-15 12:45:40.000000,PSP_Delta,BR,CARD,Mastercard,3272.1,approved
upload_000075,2024-07-15 12:48:49.000000,PSP_Beta,BR,PIX,,4627.6,approved
upload_000061,2024-07-15 12:54:05.000000,PSP_Delta,BR,PIX,,3428.6,approved
upload_000059,2024-07-15 12:55:58.000000,PSP_Delta,BR,PIX,,848.8,approved
upload_000033,2024-07-15 12:58:39.000000,PSP_Beta,BR,CARD,Mastercard,2902.0,approved
upload_000095,2024-07-15 13:02:02.000000,PSP_Gamma,MX,CARD,Mastercard,1046.3,declined
upload_000015,2024-07-15 13:03:55.000000,PSP_Alpha,BR,CARD,Visa,728.1,approved
upload_000091,2024-07-15 13:06:30.000000,PSP_Alpha,MX,CARD,Mastercard,1355.2,approved
upload_000039,2024-07-15 13:06:43.000000,PSP_Gamma,CO,PSE,,3995.4,approved
upload_000081,2024-07-15 13:11:21.000000,PSP_Delta,CO,CARD,Visa,1669.3,declined
upload_000063,2024-07-15 13:14:16.000000,PSP_Alpha,MX,CARD,Visa,571.4,approved
upload_000049,2024-07-15 13:19:22.000000,PSP_Delta,MX,OXXO,,2288.6,approved
upload_000070,2024-07-15 13:26:31.000000,PSP_Gamma,MX,CARD,Visa,1031.6,approved
upload_000003,2024-07-15 13:38:15.000000,PSP_Delta,MX,OXXO,,1276.0,approved
upload_000087,2024-07-15 13:40:01.000000,PSP_Gamma,CO,CARD,Visa,736.3,approved
upload_000000,2024-07-15 13:44:57.000000,PSP_Alpha,CO,CARD,Visa,332.1,declined
upload_000062,2024-07-15 13:46:34.000000,PSP_Delta,BR,PIX,,2560.7,approved
upload_000026,2024-07-15 13:49:04.000000,PSP_Beta,BR,CARD,Visa,3574.9,approved
upload_000051,2024-07-15 14:00:28.000000,PSP_Beta,CO,PSE,,4883.4,approved
upload_000088,2024-07-15 14:00:28.000000,PSP_Alpha,BR,CARD,Visa,1609.0,declined
upload_000022,2024-07-15 14:03:20.000000,PSP_Gamma,CO,CARD,Mastercard,2279.3,approved
upload_000011,2024-07-15 14:06:22.000000,PSP_Delta,BR,PIX,,1296.5,approved
upload_000053,2024-07-15 14:08:57.000000,PSP_Beta,CO,CARD,Mastercard,5457.6,declined
upload_000056,2024-07-15 14:17:33.000000,PSP_Delta,CO,CARD,Visa,1476.9,approved
upload_000043,2024-07-15 14:18:27.000000,PSP_Gamma,MX,CARD,Visa,1316.9,approved
upload_000093,2024-07-15 14:18:35.000000,PSP_Gamma,BR,PIX,,1284.2,approved
upload_000090,2024-07-15 14:24:58.000000,PSP_Delta,CO,CARD,Visa,1380.6,approved
upload_000064,2024-07-15 14:27:57.000000,PSP_Beta,MX,OXXO,,2514.5,approved
upload_000012,2024-07-15 14:30:15.000000,PSP_Gamma,CO,PSE,,1079.0,approved
upload_000001,2024-07-15 14:33:59.000000,PSP_Beta,CO,PSE,,4654.7,approved
upload_000031,2024-07-15 14:39:39.000000,PSP_Beta,BR,PIX,,3501.4,approved
upload_000017,2024-07-15 14:43:24.000000,PSP_Beta,CO,CARD,Visa,2379.3,approved
upload_000071,2024-07-15 14:44:21.000000,PSP_Beta,MX,CARD,Mastercard,6334.2,approved
upload_000098,2024-07-15 14:47:39.000000,PSP_Beta,BR,PIX,,5620.0,approved
upload_000050,2024-07-15 14:48:53.000000,PSP_Delta,MX,OXXO,,2318.1,approved
upload_000044,2024-07-15 14:51:06.000000,PSP_Delta,CO,CARD,Mastercard,2719.8,approved
upload_000019,2024-07-15 14:53:46.000000,PSP_Gamma,BR,CARD,Visa,3010.3,approved
upload_000076,2024-07-15 14:58:15.000000,PSP_Beta,MX,CARD,Mastercard,2351.8,declined
upload_000023,2024-07-15 15:02:24.000000,PSP_Beta,MX,OXXO,,2846.4,approved
upload_000089,2024-07-15 15:03:43.000000,PSP_Beta,BR,PIX,,7554.5,approved
upload_000057,2024-07-15 15:03:53.000000,PSP_Delta,MX,OXXO,,16493.8,timeout
upload_000072,2024-07-15 15:04:59.000000,PSP_Beta,CO,CARD,Visa,6339.5,approved
upload_000040,2024-07-15 15:06:20.000000,PSP_Alpha,BR,PIX,,649.6,approved
upload_000042,2024-07-15 15:06:48.000000,PSP_Alpha,CO,CARD,Mastercard,622.8,declined
upload_000058,2024-07-15 15:08:27.000000,PSP_Gamma,MX,CARD,Visa,16958.3,timeout
upload_000030,2024-07-15 15:11:24.000000,PSP_Gamma,MX,OXXO,,2094.7,approved
upload_000074,2024-07-15 15:11:42.000000,PSP_Alpha,CO,CARD,Mastercard,858.6,approved
upload_000092,2024-07-15 15:19:02.000000,PSP_Delta,CO,CARD,Mastercard,1428.9,declined
upload_000005,2024-07-15 15:21:39.000000,PSP_Delta,MX,CARD,Mastercard,1883.7,approved
upload_000079,2024-07-15 15:22:38.000000,PSP_Delta,MX,CARD,Mastercard,1622.8,approved
upload_000055,2024-07-15 15:32:18.000000,PSP_Beta,MX,OXXO,,3815.2,approved
upload_000034,2024-07-15 15:34:37.000000,PSP_Gamma,BR,CARD,Visa,1222.5,approved
upload_000086,2024-07-15 15:34:46.000000,PSP_Beta,BR,CARD,Mastercard,2112.8,approved
upload_000085,2024-07-15 15:36:24.000000,PSP_Beta,BR,PIX,,4125.5,approved
upload_000097,2024-07-15 15:38:40.000000,PSP_Delta,BR,PIX,,15991.0,timeout
upload_000066,2024-07-15 15:39:09.000000,PSP_Alpha,CO,PSE,,18610.2,timeout
upload_000069,2024-07-15 15:39:43.000000,PSP_Alpha,CO,CARD,Mastercard,1123.9,approved
upload_000045,2024-07-15 15:40:20.000000,PSP_Delta,CO,PSE,,751.3,declined
upload_000065,2024-07-15 15:40:28.000000,PSP_Alpha,BR,CARD,Mastercard,1912.6,approved
upload_000083,2024-07-15 15:45:31.000000,PSP_Delta,BR,CARD,Visa,15097.4,timeout
upload_000007,2024-07-15 15:45:48.000000,PSP_Beta,BR,CARD,Visa,2141.0,approved
upload_000099,2024-07-15 15:47:30.000000,PSP_Beta,BR,PIX,,2486.4,approved
